Sample_ID,Site,TDiurnRng,TSeas,AveTWrmQtr,PSeas,PWrmQtr,Pops7
ML10,ML,136,6337,216,59,230,1
ML12,ML,136,6337,216,59,230,1
ML4,ML,136,6337,216,59,230,1
ML5,ML,136,6337,216,59,230,1
ML6,ML,136,6337,216,59,230,1
ML7,ML,136,6337,216,59,230,1
ML8,ML,136,6337,216,59,230,1
ML9,ML,136,6337,216,59,230,1
SEN8,AZP,161,7002,220,48,172,1
SEN10,AZP,161,7002,220,48,172,1
THB10,AZP,164,6981,207,49,174,1
YC6,AZP,158,6903,199,44,186,1
GC2,SHW,162,6993,209,49,176,1
GC4,SHW,162,6993,209,49,176,1
GC8,SHW,162,6993,209,49,176,1
SHW13,SHW,162,6993,209,49,176,1
SHW14,SHW,162,6993,209,49,176,1
SHW1X,SHW,162,6993,209,49,176,1
SHW4X,SHW,162,6993,209,49,176,1
PHWS1,AZPW,162,7149,212,36,141,1
PHWS3,AZPW,162,7149,212,36,141,1
PHWS4,AZPW,162,7149,212,36,141,1
AZPW1,AZPW,161,7143,214,36,141,1
AZPW2,AZPW,161,7143,214,36,141,1
AZPW3,AZPW,161,7143,214,36,141,1
AZPW4,AZPW,161,7143,214,36,141,1
AZPW5,AZPW,161,7143,214,36,141,1
AZPW6,AZPW,162,7149,212,36,141,1
AZPW7,AZPW,162,7149,212,36,141,1
AZPW8,AZPW,162,7149,212,36,141,1
AZPW9,AZPW,162,7149,212,36,141,1
AZPW10,AZPW,162,7149,212,36,141,1
AZPW11,AZPW,162,7149,212,36,141,1
AZPW12,AZPW,162,7149,212,36,141,1
AZPW13,AZPW,162,7149,212,36,141,1
AZPW14,AZPW,162,7149,212,36,141,1
AZPW15,AZPW,162,7149,212,36,141,1
AZPW16,AZPW,162,7149,212,36,141,1
AZPW17,AZPW,164,7131,185,38,155,1
AZPW18,AZPW,164,7131,185,38,155,1
AZPW19,AZPW,164,7131,185,38,155,1
AZPW20,AZPW,164,7131,185,38,155,1
AZPW21,AZPW,164,7131,185,38,155,1
AZPW22,AZPW,164,7131,185,38,155,1
AZPW23,AZPW,164,7131,185,38,155,1
AZPW24,AZPW,164,7131,185,38,155,1
AZPW25,AZPW,163,7133,190,37,152,1
AZPW26,AZPW,163,7133,190,37,152,1
AZPW27,AZPW,163,7133,190,37,152,1
AZPW28,AZPW,163,7133,190,37,152,1
AZPW29,AZPW,163,7133,190,37,152,1
AZPW30,AZPW,163,7133,190,37,152,1
AZPW31,AZPW,163,7133,190,37,152,1
AZPW32,AZPW,163,7133,190,37,152,1
AZPW33,AZPW,163,7133,190,37,152,1
AZPW34,AZPW,163,7133,190,37,152,1
AZPW35,AZPW,163,7133,190,37,152,1
AZPW36,AZPW,163,7133,190,37,152,1
AZPW37,AZPW,163,7133,190,37,152,1
AZPW38,AZPW,163,7133,190,37,152,1
AZPW39,AZPW,163,7133,190,37,152,1
AZPW40,AZPW,163,7133,190,37,152,1
AZPW41,AZPW,163,7133,190,37,152,1
AZPW42,AZPW,163,7128,190,37,153,1
AZPW43,AZPW,163,7128,190,37,153,1
AZPW44,AZPW,163,7128,190,37,153,1
