"","dem3s_int","ADBed","Pclay","pH","Psand","Psilt","SOC","BIO1","BIO2","BIO3","BIO4","BIO5","BIO6","BIO7","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19","HLI","CTI"
"RC2",0.639273624178064,-0.168245659452785,0.399714676776238,-0.313910130122478,-0.500775930647923,0.397299406438012,0.270982583545957,-0.100782435482388,0.526891173272608,0.912667188693191,-0.473455963077852,-0.0884885619823978,0.0608313162155972,-0.145775112883171,0.350335545897577,-0.39900435636128,-0.307336923234531,-0.0071144923569727,0.774477369290937,0.921231755580746,0.222405788291144,0.939982840801111,0.898667516268804,0.370851756141709,0.874706147451853,0.0808902632861662,0.0415472885034079,-0.020902669444551
"RC1",-0.209213068901318,0.042867308605737,-0.0172340376299587,0.540220086105359,0.316749169186673,-0.564751355602454,-0.156291716036354,0.883739874142702,0.107586288813323,0.025197611662564,0.179511254254968,0.686977458931616,0.951774147627082,0.122389727685507,0.685892657644217,-0.522596882943388,0.713051106752942,0.963120191099512,-0.345700755767995,-0.0282739419807761,-0.395316980438645,0.0626757592807479,-0.212093045641727,-0.318021380064216,0.138214123534044,-0.696735040024621,0.0538006864575602,0.0322730756439442
"RC3",0.0932343661733237,0.0372316451602677,0.112002921004297,0.248394641852686,0.0728575434600705,-0.282922499604629,-0.222842501531365,0.409217362988817,0.788637162028825,-0.0403887056113558,0.824585031329986,0.704911156629456,-0.21446260505646,0.969801440897723,0.317464194884617,-0.160558887315913,0.596154124658907,0.0510557045696293,-0.162313445637484,-0.0406994341260419,0.00848789348704762,-0.204315993772437,-0.17063989162184,0.0772242357792182,0.0690010691897962,-0.345565089068047,-0.0289047779302568,0.0024416015486289
"RC8",0.283613132459368,-0.116178996782864,0.00447719544160303,-0.181406116294817,-0.14722384877092,0.247959928191891,0.0631799568441591,-0.152152462600018,0.0102036122387143,-0.0496213027207512,0.050989129224479,-0.0631881949558632,-0.159954526001028,0.0400656446768711,-0.0447491630044415,0.00788251790906174,-0.0889486987350464,-0.210965579368484,0.452952897012298,0.314226647506481,0.841366601284116,-0.0883416205943868,0.258928288037317,0.852042364075511,0.236299734882003,0.373641095638448,-0.0359604987852249,-0.0366573768884435
"RC4",0.268575263311446,0.0854695126164237,0.845004227591759,0.299494359578461,-0.760822143858026,0.295922539180744,-0.0917137133347363,-0.0536949219212113,0.19952675357669,0.244477022123094,-0.0812810966472319,-0.0251721862976914,-0.0900223178184122,0.0346029222384652,-0.0369379043612437,0.172009188137146,-0.0916166019523962,-0.0690832428488187,0.0757740565443776,0.0896932398280392,0.133170052687149,0.08065426537935,0.117098217481686,-0.0271939707661369,0.197927556634652,-0.104894451204369,-0.00362404956905489,-0.0554755393384699
"RC9",0.464782138238935,0.0485554256639638,0.00860490293845478,0.460191877828771,-0.00993714975957112,0.0081674750106999,-0.0347733850700336,0.0509895549818816,0.0700856130320649,0.019070255105628,0.104918985730665,0.0700578566999202,0.0246160593157437,0.0638293650631146,0.493549508138892,-0.599497663815321,0.0437411465385801,-0.064426569440544,-0.0751102197969386,0.0543756569894905,-0.0299521285417095,-0.0290980503853265,-0.0370829660352555,0.0152005075417439,0.23624290123843,-0.394214810814856,0.0303041686774869,-0.0106789041294585
"RC7",-0.250131724547275,0.949167625443684,0.107858527456593,0.184830261970995,-0.00894738508841716,-0.125342734974334,0.00408293770712571,-0.000860384762170053,0.116377767596049,0.124194891347817,-0.0465935121482006,0.00958527350518586,-0.0164977129113216,0.0228135658321466,0.0718795640309979,-0.153965205783035,-0.0180348593480746,0.0328283894480546,-0.131271292440166,-0.0748066310450831,-0.0842119843347554,-0.0662818188610128,-0.106817387349169,-0.0881283176188855,-0.132731695207653,0.00938216718748588,-0.0290172787937947,0.041127583875632
"RC6",0.0153764509610691,-0.0304157227069879,-0.0246331146071015,-0.0550789952120074,-0.0246723936067657,0.0869755140964765,0.0801208979773688,0.0142687154537783,-0.00915171324424514,0.0219021173796077,-0.00686119049766095,-0.00122822333728958,0.0440526988365025,-0.032648541010379,0.0825789143827066,-0.0961646993817178,0.00423383586605709,0.0188689230344402,-0.0085615559417237,0.0286240883862894,-0.0362402553897806,0.018399354794554,0.0131406696708984,-0.0244481271762294,0.0200368133852311,-0.0200775932982273,0.989084326814204,-0.0415871516492044
"RC5",-0.0687991155167684,0.0431742261010645,-0.070830361081843,0.0208991564092542,0.0204772108117569,0.0540827491461682,0.0140881036965025,0.0223120344515589,-0.0337110923399092,-0.0437658858137834,0.021964754031238,0.0142804616698008,0.0307214711867094,-0.00520750918387365,-0.00982208513795056,0.0109070673829986,0.0274170007407849,0.022678224189769,-0.0136243240735801,0.0100554870496036,-0.0365753870673261,0.033578637429123,-0.00504463835307047,-0.0267856425767909,-0.0290547563787495,0.024355671646835,-0.0419015723659125,0.992588012027168
"RC10",0.139778520382633,0.00553754862131182,-0.0917184928469401,-0.0596583404682778,0.0206488414306401,0.0811272729210068,0.89964607453349,-0.0736006998597615,-0.00999081145863521,0.102165829821228,-0.124442315856155,-0.0911968722098032,-0.00909094186248817,-0.0993574856567091,-0.0677486107141972,0.112400913157643,-0.108017531869579,-0.0471988268748236,0.0599367998748652,0.0531361250051856,0.0666436127701206,0.050125426838869,0.0734539908854292,0.00812300950754719,0.0938854748580202,-0.0197335160563704,0.06230005583915,0.010602832510532
