FID,SampleID,Species,Latitude,Longitude,dem3s_int,ADBed,Pclay,pH,Psand,Psilt,SOC,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,HLI,CTI
0,LBM04A05,Eucalyptus melliodora,-37.144361,142.839428,239,2780,34,64,53,12,68,13.6792002,10.9750004,46.5042,448.4440002,24.7000008,1.1,23.6000004,8.9833298,19.3167,19.3167,8.3166704,588,67,27,30.7954998,197,92,92,194,0.883706,10.0837002
1,LBM01B01,Eucalyptus melliodora,-36.632668,144.35019,167,3212,32,68,54,14,59,14.5667,11.9666996,45.5005989,507.0249939,26.7999992,0.5,26.2999992,11.2833004,18.4832993,20.8666992,8.4166698,524,56,27,23.9482994,166,93,99,157,0.90103,9.9787798
2,LBM01G05,Eucalyptus melliodora,-36.42797,144.41092,122,5597,35,74,48,16,43,15.1167002,12.2833004,45.4938011,523.3909912,27.7000008,0.7,27,11.7166996,19.1000004,21.6166992,8.7666702,466,50,25,20.9447994,146,86,92,132,0.891019,11.2488003
3,LBM03C05,Eucalyptus melliodora,-37.285278,143.77778,319,1925,40,64,45,16,76,13.0707998,11.0249996,45.9375,458.5469971,24.2000008,0.2,24,9.9833298,18.7166996,18.8332996,7.5500002,590,63,29,22.7569008,186,105,117,174,0.893962,11.5757999
4,LBM03F11,Eucalyptus melliodora,-36.580471,143.521639,203,3612,34,75,54,12,38,14.6332998,11.6332998,44.7435989,500.0700073,26.7999992,0.8,26,9.3833303,20.6166992,20.8666992,8.5833302,485,54,24,24.5466995,153,85,91,148,0.896803,10.5360003
5,LBM03G08,Eucalyptus melliodora,-37.179444,144.483333,516,1597,31,56,55,14,76,12.3207998,10.3916998,44.0325012,462.6919861,23.3999996,-0.2,23.6000004,6.8166699,18.1833,18.1833,6.8166699,789,91,39,29.2675991,260,128,128,260,0.899768,9.2651596
6,LBM04F02,Eucalyptus melliodora,-36.487921,143.891325,139,3533,35,72,52,13,40,15.2292004,12.0417004,45.2694016,508.8729858,27.6000004,1,26.6000004,12,21.25,21.5499992,9.0166702,463,52,25,23.0902996,146,85,89,134,0.892735,10.8280001
7,LBM04G01,Eucalyptus melliodora,-36.980278,144.047611,331,2854,31,63,55,14,66,13.4125004,10.3583002,44.4564018,460.696991,24.2000008,0.9,23.2999992,10.1833,19.0667,19.1667004,7.9000001,622,70,30,26.3484993,201,107,115,192,0.897095,9.1494398
8,J357,Eucalyptus melliodora,-36.019,146.29446,133,4651,28,64,57,15,59,15.4457998,12.7917004,44.7261009,570.4840088,28.7000008,0.1,28.6000004,9.3999996,19.8500004,22.5499992,8.5,566,62,30,21.7175007,178,101,116,173,0.90957,10.0043001
9,LBM01B08,Eucalyptus melliodora,-36.3675,145.70232,219,2427,29,63,54,17,55,15.1583004,11.8999996,44.7368011,528.8400269,27.5,0.9,26.6000004,9.4833298,21.5832996,21.8167,8.8333302,589,65,30,22.2415009,187,107,110,180,0.915388,10.3972998
10,LBM01C02,Eucalyptus melliodora,-35.819633,145.31187,110,5705,40,76,45,15,40,15.9833002,12.6999998,45.3571014,553.2600098,29,1,28,12.5667,20.1166992,22.8500004,9.25,438,44,25,15.9392996,130,88,95,118,0.887232,10.6610003
11,LBM02H11,Eucalyptus melliodora,-36.54041,146.10739,200,3565,30,64,52,18,53,14.9457998,12.4582996,45.6348991,533.4169922,27.7000008,0.4,27.2999992,9.3000002,21.4500008,21.6667004,8.5666704,741,83,39,24.3600006,240,133,138,232,0.898749,10.2269001
12,LBM03E01,Eucalyptus melliodora,-36.6755,146.26477,241,2178,29,61,53,18,65,14.3042002,10.8583002,43.0886002,506.5190125,26.2000008,1,25.2000008,8.8833303,20.5499992,20.5832996,8.2333298,926,112,44,29.7378006,317,154,160,311,0.892446,10.9548998
13,NSW0588,Eucalyptus melliodora,-36.70668583,145.5224218,165,4146,36,67,47,16,58,14.9417,12.0832996,45.5974998,518.4979858,27.2000008,0.7,26.5,8.71667,21.2332993,21.4500008,8.71667,629,71,33,22.9484005,200,114,119,200,0.886418,10.2481003
14,NSW0590,Eucalyptus melliodora,-36.68968306,145.5132778,156,4382,35,67,52,14,51,14.9708004,12.1416998,45.645401,519.6259766,27.2999992,0.7,26.6000004,9.46667,21.2667007,21.4832993,8.7333298,617,69,32,22.3738995,195,112,116,193,0.898893,10.1349001
15,NSW0595,Eucalyptus melliodora,-36.47566265,145.5227501,123,4143,36,68,45,18,50,15.1833,12.4167004,45.4822998,538.1040039,27.8999996,0.6,27.2999992,9.5166702,21.6833,21.9333,8.71667,561,60,30,19.6483002,172,106,111,168,0.895704,10.8825998
16,NSW0597,Eucalyptus melliodora,-36.46380309,145.5955178,126,4620,34,67,48,17,48,15.2166996,12.4666996,45.4987984,539.2219849,28,0.6,27.3999996,9.53333,21.7332993,21.9832993,8.7666702,549,58,29,20.2542,170,102,106,164,0.891857,13.5514002
17,NSW0599,Eucalyptus melliodora,-36.34743487,145.6323884,128,4625,35,68,52,13,42,15.4833002,12.2666998,45.0979996,538.9609985,28.1000004,0.9,27.2000008,9.6999998,21.9666996,22.2332993,9,535,58,29,19.0667,164,104,107,155,0.893803,11.3301001
18,NSW0602,Eucalyptus melliodora,-36.36247435,145.7416879,159,3870,38,66,46,16,54,15.2917004,12.25,45.2029991,536.9219971,27.8999996,0.8,27.1000004,9.5666704,21.7999992,22.0499992,8.8666697,569,62,30,21.7061005,180,105,108,172,0.8951,11.1253996
19,NSW0603,Eucalyptus melliodora,-36.36400061,145.7918065,143,4519,38,67,47,14,50,15.2958002,12.4417,45.4075012,542.9530029,28.1000004,0.7,27.3999996,9.53333,21.8666992,22.1166992,8.78333,576,64,30,22.2882004,183,106,109,175,0.89392,17.0653992
20,NSW0612,Eucalyptus melliodora,-36.22998018,145.3546983,108,5562,36,71,45,19,46,15.3291998,12.2417002,45.3395004,536.6790161,27.8999996,0.9,27,9.7333298,21.8167,22.0667,8.8833303,492,51,28,17.2292004,146,100,103,138,0.893354,11.4719
