FID,SampleID,Species,Latitude,Longitude,dem3s_int,ADBed,Pclay,pH,Psand,Psilt,SOC,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,HLI,CTI
0,NSW0634,Eucalyptus sideroxylon,-36.57282005,145.0199922,148,3756,25,64,61,14,53,14.8832998,10.8667002,43.641201,495.5409851,26.3999996,1.5,24.8999996,9.6499996,18.7000008,21.0499992,8.8666697,567,59,31,19.8619003,171,108,113,167,0.890958,14.1055002
1,NSW0635,Eucalyptus sideroxylon,-36.58238389,145.0242203,156,3784,25,62,59,16,59,14.7958002,10.6750002,43.3942986,487.1600037,26.2000008,1.6,24.6000004,9.6333303,18.5499992,20.8666992,8.8833303,575,60,31,20.8924999,176,108,113,171,0.896466,10.4603004
2,NSW0636,Eucalyptus sideroxylon,-36.57675636,145.0324082,145,2756,26,66,60,14,52,14.8542004,10.6917,43.462101,487.3190002,26.2000008,1.6,24.6000004,9.6999998,18.6166992,20.8999996,8.9333296,570,59,31,20.2497005,173,108,113,168,0.898575,11.1989002
3,NSW0638,Eucalyptus sideroxylon,-36.58394937,145.047194,145,4120,22,65,63,14,57,14.9083004,10.7166996,43.5637016,485.1419983,26.2999992,1.7,24.6000004,9.8000002,18.6499996,20.9333,9,567,59,31,20.5384998,173,107,113,168,0.894927,10.2816
4,NSW0640,Eucalyptus sideroxylon,-36.60462627,145.0229112,146,4128,23,62,62,15,55,14.75,10.7333002,43.6314011,484.5339966,26.1000004,1.5,24.6000004,9.6333303,18.4832993,20.7667007,8.8500004,570,59,31,20.6653996,174,107,113,169,0.893875,10.4245005
5,NSW0641,Eucalyptus sideroxylon,-36.65971658,145.0181855,150,3872,24,62,60,16,61,14.7333002,11.25,44.2913017,500.0469971,26.5,1.1,25.3999996,9.5,18.5832996,20.9666996,8.6833296,579,61,32,21.4904995,180,108,114,174,0.892296,15.2723999
6,NSW0643,Eucalyptus sideroxylon,-36.6739908,145.0166211,151,4493,27,64,57,16,55,14.7082996,11.3500004,44.5098,502.4609985,26.5,1,25.5,9.4499998,18.5832996,20.9666996,8.6333303,584,61,32,21.5373993,180,109,115,175,0.90333,9.7692604
7,NSW0645,Eucalyptus sideroxylon,-36.7236042,145.0350827,159,2931,27,67,58,15,48,14.8000002,11.1999998,44.2687988,494.946991,26.5,1.2,25.2999992,9.6333303,18.6333008,20.9666996,8.8000002,593,63,33,20.9647999,183,111,118,177,0.891997,12.5116997
8,NSW0646,Eucalyptus sideroxylon,-36.74485945,145.0508309,169,3779,25,66,60,15,55,14.7292004,11.2250004,44.1929016,495.618988,26.5,1.1,25.3999996,9.5500002,18.5667,20.9167004,8.7333298,602,64,33,21.3742008,186,112,119,181,0.880164,9.7189703
9,NSW0648,Eucalyptus sideroxylon,-36.81190739,145.0158986,173,3271,28,66,58,14,56,14.5916996,11.3832998,44.4660988,494.6520081,26.3999996,0.8,25.6000004,9.3833303,18.4500008,20.75,8.6000004,609,66,32,22.552,190,110,118,187,0.891407,9.7890997
10,NSW0655,Eucalyptus sideroxylon,-37.01049227,144.7784227,298,1988,33,67,53,14,60,13.6332998,10.8000002,45,465.7609863,24.7000008,0.7,24,8.6333303,17.4333,19.3999996,8,656,72,33,26.2381992,209,113,123,207,0.894289,11.4253998
11,NSW0658,Eucalyptus sideroxylon,-37.01464324,144.831663,289,3004,29,59,59,12,61,13.7250004,10.7666998,44.8610992,467.8989868,24.7999992,0.8,24,8.6999998,17.5333004,19.5333004,8.1000004,659,72,33,26.2112007,212,113,123,209,0.881648,10.3676996
12,NSW0659,Eucalyptus sideroxylon,-37.02068324,144.8832116,275,2950,33,58,55,13,62,13.8374996,10.8916998,45.0069008,473.6470032,25,0.8,24.2000008,8.8000002,17.6833,19.7166996,8.1333303,657,73,32,26.6504993,212,111,121,208,0.900058,10.8128996
13,NSW0661,Eucalyptus sideroxylon,-37.00828783,145.0232347,182,3649,29,65,58,13,57,14.1917,11.0667,45.5418015,470.6369934,25.3999996,1.1,24.2999992,9.1666698,17.9832993,19.9832993,8.46667,634,70,33,24.7938004,201,111,118,200,0.898749,11.6132002
14,NSW0669,Eucalyptus sideroxylon,-37.06037583,145.0340321,199,2796,32,61,53,15,65,14.1541996,11.3083,46.1565018,470.0119934,25.5,1,24.5,9.1333303,17.9832993,19.9167004,8.4333296,639,70,34,25.2880001,204,111,119,202,0.902922,10.4391003
15,NSW0693,Eucalyptus sideroxylon,-36.65700881,145.9723619,194,3553,33,66,49,18,62,14.8583002,12.0500002,45.1310997,528.6300049,27.3999996,0.7,26.7000008,9.3000002,21.3332996,21.5499992,8.6166697,796,93,38,27.9237995,266,133,138,263,0.896416,10.6368999
16,NSW0696,Eucalyptus sideroxylon,-36.25227026,146.2403332,152,4184,29,64,57,14,54,15.1708002,12.1583004,44.212101,547.7700195,28,0.5,27.5,9.46667,19.4832993,22.0667,8.5833302,630,69,33,23.7570992,202,111,124,193,0.887817,10.0130997
17,NSW0698,Eucalyptus sideroxylon,-36.24428691,146.1827203,231,2076,24,60,63,13,56,14.9041996,10.625,41.5038986,535.3610229,26.7999992,1.2,25.6000004,9.2666702,19.0667,21.7166996,8.53333,676,77,34,25.6161995,221,118,128,213,0.88741,13.1104002
18,NSW0700,Eucalyptus sideroxylon,-36.24574788,146.1546351,226,2009,24,61,61,15,57,15.0124998,10.9417,42.2458,534.492981,27.1000004,1.2,25.8999996,9.3666697,19.1833,21.7833004,8.6333303,662,75,34,24.8659992,215,117,127,207,0.904441,11.0586996
19,NSW0701,Eucalyptus sideroxylon,-36.23739875,146.1312255,199,2200,30,61,56,14,51,15.2082996,11.3332996,43.257,533.1030273,27.3999996,1.2,26.2000008,9.5666704,19.3833008,21.8666992,8.8000002,637,71,33,24.1138992,204,113,124,197,0.900939,10.7164001
20,NSW0703,Eucalyptus sideroxylon,-36.20948324,146.1312206,194,2490,26,61,60,14,48,15.2375002,11.3583002,43.1875992,536.2329712,27.5,1.2,26.2999992,9.5666704,19.3833008,21.9333,8.78333,632,71,33,23.9594002,203,113,124,196,0.889934,14.4813004
21,NSW0704,Eucalyptus sideroxylon,-36.19781404,146.1311256,182,3117,27,64,59,14,43,15.3542004,11.7582998,43.8744011,544.3909912,27.8999996,1.1,26.7999992,9.6000004,19.5167007,22.1667004,8.8000002,621,69,33,23.0359993,197,112,124,191,0.885929,12.9348001
22,J355,Eucalyptus sideroxylon,-36.09264,146.61917,181,3071,26,64,56,18,55,15.0583,12.6000004,44.5229988,555.4110107,28.2000008,-0.1,28.2999992,9.21667,19.5167007,22.0499992,8.3833303,656,74,32,24.8721008,214,114,125,205,0.895233,12.2643003
23,J385,Eucalyptus sideroxylon,-36.17434,146.66263,252,3153,25,59,58,17,57,14.5791998,12.375,44.0391006,562.7949829,27.6000004,-0.5,28.1000004,8.5666704,18.9167004,21.7000008,7.9000001,743,86,34,27.4412003,248,128,134,239,0.906046,12.1554003
24,NSW0061,Eucalyptus sideroxylon,-35.38459039,147.7846044,272,2639,28,60,55,17,51,14.9457998,12.9582996,44.6838989,581.3640137,28.5,-0.5,29,8.8500004,19.3666992,22.25,7.9166698,768,84,38,22.0323009,238,141,157,229,0.886283,13.25
25,NSW0581,Eucalyptus sideroxylon,-35.47152406,147.6383768,455,1861,28,62,53,19,63,14,11.5333004,42.4020004,551.9219971,26.6000004,-0.6,27.2000008,8.0833302,20.7000008,20.9500008,7.3499999,808,91,40,23.5995998,255,146,160,251,0.893029,11.5679998
26,NSW0586,Eucalyptus sideroxylon,-36.13796021,146.6475878,220,3118,28,61,55,17,59,15.0625,12.2582998,44.0946999,553.9000244,28,0.2,27.7999992,9.2333298,19.3666992,22.1000004,8.46667,683,78,33,25.5935993,225,119,128,216,0.899474,10.6988001
27,NSW0735,Eucalyptus sideroxylon,-36.10311831,146.6144493,225,2325,30,61,53,17,57,14.9083004,12.3999996,44.2857018,553.0079956,27.8999996,-0.1,28,9.0500002,19.3332996,21.8833008,8.28333,675,76,33,25.2150002,221,117,128,212,0.893727,10.3292999
28,J352,Eucalyptus sideroxylon,-35.25665,147.68486,278,1862,28,62,55,16,53,15.1667004,12.7166996,44.1551018,583.6259766,28.6000004,-0.2,28.7999992,8.96667,19.5832996,22.5167007,8.1000004,693,73,37,18.9279995,209,134,145,198,0.901027,14.5563002
