"","dem3s_int","ADBed","Pclay","pH","Psand","Psilt","SOC","BIO1","BIO2","BIO3","BIO4","BIO5","BIO6","BIO7","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19","HLI","CTI"
"dem3s_int",1,-0.523054295855929,-0.421869256156833,-0.322954589210116,0.26773296279654,0.332802601723434,0.419977338316973,-0.617392087250543,-0.0800577126791533,0.195285854201935,-0.276796316812226,-0.514385517400303,-0.522640987359678,-0.218493393508027,0.248204349056136,-0.637609724069636,-0.621217230478999,-0.667022241011236,0.528424815068743,0.411561005689121,0.563348654490402,0.0337311678640834,0.419923314794823,0.56186730774072,0.607349108519417,-0.0541323594354854,-0.0306730791491857,-0.132953865622527
"ADBed",-0.523054295855929,1,0.628842850306639,0.595126292869203,-0.448807799700561,-0.363828052816773,-0.622028627750751,0.535336048970745,0.436038605019047,-0.135934957548962,0.61860258904521,0.615053043354602,0.167839391327185,0.578117465583693,-0.0805909422950417,0.4594604596399,0.640174945082009,0.404602339380916,-0.610650391114947,-0.443217579551531,-0.492227934151306,-0.117586062549258,-0.494001212520273,-0.535581680528439,-0.439361524305563,-0.192198657952671,0.0324962004472451,0.168960062104872
"Pclay",-0.421869256156833,0.628842850306639,1,0.562264056928889,-0.894205724325858,-0.204296136577833,-0.382395186441813,0.673358033444741,0.411468621143047,0.0561240347293313,0.385361564470824,0.656997304147208,0.451123439921168,0.429097143034762,0.145937442606759,0.327628114829083,0.663219626905665,0.617301599005406,-0.329170092452006,-0.0232623758054307,-0.456504771537944,0.326673087979071,-0.0948397075936561,-0.464453398301574,-0.0339876087217813,-0.247481170382016,0.00435147030430738,0.190743218321604
"pH",-0.322954589210116,0.595126292869203,0.562264056928889,1,-0.469050658362766,-0.174779812441127,-0.491498900563425,0.463447651402671,0.514053519297391,0.161104633352911,0.383997961091834,0.537326591880784,0.179016471667793,0.482606727840304,0.233251596686227,0.0645604878169426,0.486642139125503,0.371178921996186,-0.602325820015663,-0.314065135804077,-0.512229518112049,0.0457531977842568,-0.431180744247036,-0.556598148400939,-0.219185296972343,-0.471580918545761,-0.0042094060393124,0.0824396642148543
"Psand",0.26773296279654,-0.448807799700561,-0.894205724325858,-0.469050658362766,1,-0.246215052871032,0.153070939194253,-0.570081496660699,-0.294104074041902,-0.0878893414144739,-0.208390825729394,-0.516969569828788,-0.448421242209026,-0.272862318450408,-0.214612336360561,-0.201578765833485,-0.519755890991675,-0.554475044267711,0.0922830043027035,-0.180749718857715,0.256733870212556,-0.385935447386437,-0.107750438827713,0.258797517384398,-0.162877953507108,0.167557455499233,0.0193628415291137,-0.148639476565335
"Psilt",0.332802601723434,-0.363828052816773,-0.204296136577833,-0.174779812441127,-0.246215052871032,1,0.47665649385367,-0.211286786985796,-0.221759895858,0.0800669062621318,-0.363282371852098,-0.281470472080275,-0.0142078777645336,-0.307964537192329,0.15859064017199,-0.274644192256659,-0.294520597185507,-0.130446515951781,0.497653631489325,0.434558402096678,0.432935639901888,0.119859151695584,0.422630874238826,0.444064394135686,0.423502405656473,0.15878189345129,-0.0571185982013267,-0.0823975217197612
"SOC",0.419977338316973,-0.622028627750751,-0.382395186441813,-0.491498900563425,0.153070939194253,0.47665649385367,1,-0.507706891754867,-0.578956508970307,0.102965295741176,-0.719501816066092,-0.660117339074383,-0.0316978457669207,-0.723377581268368,0.0855633798499393,-0.407875213110712,-0.647009300865278,-0.326357506016587,0.642048999012792,0.491998438379331,0.465059460918848,0.182623183529748,0.546244245403472,0.501364007751122,0.412567262279992,0.303724041568631,-0.0297185887701294,-0.281628159056955
"BIO1",-0.617392087250543,0.535336048970745,0.673358033444741,0.463447651402671,-0.570081496660699,-0.211286786985796,-0.507706891754867,1,0.45671332889256,0.00301918846085446,0.479707729145525,0.927359500178273,0.766359096338608,0.515838217889496,0.374813645423929,0.293521521900205,0.956377440361898,0.942688522820982,-0.30295990857397,0.0771915371872269,-0.480786776654814,0.388466875325804,-0.052024011287277,-0.44539733920625,0.0722001016840805,-0.338963815042204,0.0559759334876298,0.17212983995812
"BIO2",-0.0800577126791533,0.436038605019047,0.411468621143047,0.514053519297391,-0.294104074041902,-0.221759895858,-0.578956508970307,0.45671332889256,1,0.455198045174966,0.644841770696727,0.702363777664923,-0.0929237387308532,0.857470008516755,0.227279446161924,0.040272687436553,0.548418509914637,0.236954527542384,-0.308569330496016,-0.0491993081784959,-0.19602981266051,0.143291253910924,-0.159239472441907,-0.242423100933391,0.039858763730681,-0.360780055763834,0.117894921345957,0.186876327876786
"BIO3",0.195285854201935,-0.135934957548962,0.0561240347293313,0.161104633352911,-0.0878893414144739,0.0800669062621318,0.102965295741176,0.00301918846085446,0.455198045174966,1,-0.365046430407982,-0.0058297535327145,0.0852794058571481,-0.0657006058957382,0.368167577747771,-0.394721086139552,-0.14859900431172,0.0857590379231827,0.144092509030973,0.285396244558209,0.000291391467406365,0.354327965585538,0.264363721977543,0.025213510472381,0.379481671576584,-0.295482291788845,0.103437233899252,-0.0185076860690325
