"","dem3s_int","ADBed","Pclay","pH","Psand","Psilt","SOC","BIO1","BIO2","BIO3","BIO4","BIO5","BIO6","BIO7","BIO8","BIO9","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19","HLI","CTI"
"dem3s_int",1,-0.293080422202718,0.45817981119097,-0.143586319558949,-0.596100955976415,0.500750790836148,0.254851768925562,-0.250442631034783,0.43712421912792,0.615736019755014,-0.23399080315479,-0.140512565965842,-0.223467817896468,-0.00462436979538066,0.26156918442867,-0.2757273017959,-0.334243220817402,-0.327866207147536,0.709087503175429,0.747792686608455,0.541387607089248,0.571007977358809,0.735886948474035,0.558470239409715,0.856466574254996,-0.0026154321899412,0.0608509262771726,-0.120442216656455
"ADBed",-0.293080422202718,1,0.085975421528953,0.306160067248524,0.0517955395672318,-0.205869039521075,-0.0892792021498203,0.0940236516121877,0.0574643134679895,-0.0340460460102451,0.0741992998725063,0.0961507171724861,0.0305623315758536,0.0898862275770977,0.0566286682914532,-0.0773872005179464,0.0999321773636611,0.0926457850438407,-0.323261768556092,-0.251906498551197,-0.219601849646874,-0.200322745723238,-0.281572926576875,-0.272673590949194,-0.236473153551444,-0.151425621819067,-0.0576754292515169,0.0847256361122522
"Pclay",0.45817981119097,0.085975421528953,1,0.129395474040108,-0.843385877856171,0.253341894687692,-0.0519445019052138,-0.0639926353854555,0.461482415989588,0.552457151317308,-0.152326817858794,0.00597205020017738,-0.108985476957224,0.084175234347152,0.171191515283021,-0.0989206180132923,-0.14585260177232,-0.0863925016694589,0.349387085562842,0.426312905073889,0.191284934723466,0.400688676977046,0.424832616568082,0.147396576656312,0.493892496093611,-0.0656940956981883,-0.0179539893613329,-0.108647434199776
"pH",-0.143586319558949,0.306160067248524,0.129395474040108,1,0.170761563013899,-0.490131263813297,-0.341524499676086,0.639612440773002,0.221694827529535,-0.159877495811617,0.459267391881487,0.617513019556645,0.439011317925623,0.405237808159137,0.549446237471715,-0.412144088087766,0.634530636668334,0.523995771428612,-0.574091635744,-0.305357350337548,-0.422806160980309,-0.251922244150342,-0.468573222633096,-0.438559691900352,-0.102589641210899,-0.716450750070305,-0.020224492993958,0.0306339130668441
"Psand",-0.596100955976415,0.0517955395672318,-0.843385877856171,0.170761563013899,1,-0.729202012744662,-0.14464987370501,0.413343984663885,-0.320878648184161,-0.613983157361553,0.391037371272841,0.333293143700882,0.345293949719253,0.141928470005796,0.0666080740559097,-0.048344900828952,0.489101798475084,0.384602446902173,-0.629769600306064,-0.583336588165699,-0.427946629168351,-0.503030576289918,-0.647541916982724,-0.390402607192095,-0.554419769142394,-0.283380022385314,-0.00479466487541837,0.0985283076949449
"Psilt",0.500750790836148,-0.205869039521075,0.253341894687692,-0.490131263813297,-0.729202012744662,1,0.332758545341668,-0.679161236005354,-0.0168206633404972,0.408154335757902,-0.524765502967067,-0.625902692939611,-0.493980344151969,-0.376010003482272,-0.348977684544453,0.220841995033302,-0.713207297516481,-0.595852936850742,0.694247586179499,0.507417854380871,0.527347641606042,0.401016850279858,0.630325091236192,0.511319218407261,0.369554150357844,0.60118792311299,0.0431386078509977,-0.0379626401858747
"SOC",0.254851768925562,-0.0892792021498203,-0.0519445019052138,-0.341524499676086,-0.14464987370501,0.332758545341668,1,-0.329508381281863,-0.0875126763159159,0.304760778611818,-0.433341577129573,-0.375668095414153,-0.0977796368427393,-0.3665226548465,-0.133834348336918,0.0642596772574113,-0.416925752719912,-0.210142698410749,0.381373265930346,0.325679871036497,0.19547278726131,0.326656511682054,0.387605725681968,0.202061338296934,0.252552532530869,0.27012153697919,0.133485357276857,0.00969476500798124
"BIO1",-0.250442631034783,0.0940236516121877,-0.0639926353854555,0.639612440773002,0.413343984663885,-0.679161236005354,-0.329508381281863,1,0.35385352825977,-0.103501879610093,0.558214085583544,0.930213398948895,0.783504780056069,0.52384316129421,0.739212776067966,-0.538043898757514,0.940415665987589,0.916057631815383,-0.531235089955981,-0.190550930648188,-0.516874011956479,-0.1206653671285,-0.400706281457052,-0.419022592958057,0.0216082402797554,-0.836263647917832,0.0432185521304549,0.0568299381029914
"BIO2",0.43712421912792,0.0574643134679895,0.461482415989588,0.221694827529535,-0.320878648184161,-0.0168206633404972,-0.0875126763159159,0.35385352825977,1,0.559668519508631,0.384764166633362,0.581599700516583,-0.0561856989344554,0.714559434946788,0.539652207810305,-0.41583188691054,0.35668858916579,0.1304545088066,0.232264202294834,0.452879035667808,0.124953355186314,0.326550698806788,0.314583006399704,0.221703181453532,0.566499835665889,-0.355009327330092,-0.00437129467113524,-0.0440997022152012
"BIO3",0.615736019755014,-0.0340460460102451,0.552457151317308,-0.159877495811617,-0.613983157361553,0.408154335757902,0.304760778611818,-0.103501879610093,0.559668519508631,1,-0.535115585633864,-0.110319431311509,0.07150670333375,-0.178668427551656,0.324326425259311,-0.341003002275993,-0.335803862254583,0.0145291352629711,0.673301518790699,0.8222796134158,0.213962052169719,0.852431573661337,0.811504316799331,0.278136507174732,0.828690436026837,-0.00227123758499532,0.0726795524902272,-0.0607738487528808
