,MAT,TDiurnRng,Isotherm,TSeas,TMaxWrmM,TMinCM,TAnnRng,AveTWetQtr,AveTDQtr,AveTWrmQtr,AveTCQtr,MAP,PWetM,PDryM,PSeas,PWetQtr,PDryQtr,PWrmQtr,PColdQtr
ML10,134,136,44,6337,295,-9,304,209,163,216,56,601,108,9,59,271,44,230,157
ML12,134,136,44,6337,295,-9,304,209,163,216,56,601,108,9,59,271,44,230,157
ML4,134,136,44,6337,295,-9,304,209,163,216,56,601,108,9,59,271,44,230,157
ML5,134,136,44,6337,295,-9,304,209,163,216,56,601,108,9,59,271,44,230,157
ML6,134,136,44,6337,295,-9,304,209,163,216,56,601,108,9,59,271,44,230,157
ML7,134,136,44,6337,295,-9,304,209,163,216,56,601,108,9,59,271,44,230,157
ML8,134,136,44,6337,295,-9,304,209,163,216,56,601,108,9,59,271,44,230,157
ML9,134,136,44,6337,295,-9,304,209,163,216,56,601,108,9,59,271,44,230,157
SEN8,127,161,46,7002,315,-35,350,214,155,220,42,559,87,11,48,209,49,172,167
SEN10,127,161,46,7002,315,-35,350,214,155,220,42,559,87,11,48,209,49,172,167
THB10,114,164,46,6981,303,-49,352,201,141,207,29,519,87,11,49,207,49,174,147
YC6,107,158,45,6903,294,-50,344,193,134,199,24,604,91,13,44,222,61,186,173
GC2,116,162,46,6993,304,-47,351,204,143,209,31,532,88,11,49,210,49,176,152
GC4,116,162,46,6993,304,-47,351,204,143,209,31,532,88,11,49,210,49,176,152
GC8,116,162,46,6993,304,-47,351,204,143,209,31,532,88,11,49,210,49,176,152
SHW13,116,162,46,6993,304,-47,351,204,143,209,31,532,88,11,49,210,49,176,152
SHW14,116,162,46,6993,304,-47,351,204,143,209,31,532,88,11,49,210,49,176,152
SHW1X,116,162,46,6993,304,-47,351,204,143,209,31,532,88,11,49,210,49,176,152
SHW4X,116,162,46,6993,304,-47,351,204,143,209,31,532,88,11,49,210,49,176,152
PHWS1,118,162,45,7149,311,-46,357,207,147,212,30,549,68,11,36,176,63,141,160
PHWS3,118,162,45,7149,311,-46,357,207,147,212,30,549,68,11,36,176,63,141,160
PHWS4,118,162,45,7149,311,-46,357,207,147,212,30,549,68,11,36,176,63,141,160
AZPW1,119,161,45,7143,312,-43,355,208,149,214,32,555,68,11,36,177,63,141,163
AZPW2,119,161,45,7143,312,-43,355,208,149,214,32,555,68,11,36,177,63,141,163
AZPW3,119,161,45,7143,312,-43,355,208,149,214,32,555,68,11,36,177,63,141,163
AZPW4,119,161,45,7143,312,-43,355,208,149,214,32,555,68,11,36,177,63,141,163
AZPW5,119,161,45,7143,312,-43,355,208,149,214,32,555,68,11,36,177,63,141,163
AZPW6,118,162,45,7149,311,-46,357,207,147,212,30,549,68,11,36,176,63,141,160
AZPW7,118,162,45,7149,311,-46,357,207,147,212,30,549,68,11,36,176,63,141,160
AZPW8,118,162,45,7149,311,-46,357,207,147,212,30,549,68,11,36,176,63,141,160
AZPW9,118,162,45,7149,311,-46,357,207,147,212,30,549,68,11,36,176,63,141,160
AZPW10,118,162,45,7149,311,-46,357,207,147,212,30,549,68,11,36,176,63,141,160
AZPW11,118,162,45,7149,311,-46,357,207,147,212,30,549,68,11,36,176,63,141,160
